Title	Author	Price	Nook	Audio	Hardcover	Subject	Publisher	Published date	Pages	Number of reviews	Rating
The Last Bride (Signed Book) (Home to Hickory Hollow Series #5)	Beverly Lewis	17.96	TRUE	TRUE	FALSE	"[u'Romance', u'Peoples & Cultures - Fiction']"	Bethany House Publishers	4/1/14	352	21	4.5
Cross My Heart (Alex Cross Series #21)	James Patterson	10.4	TRUE	TRUE	TRUE	"[u'Mystery & Crime', u'Fiction Subjects']"	Grand Central Publishing	9/30/14	448	322	3.5
Diary of a Mad Diva	Joan Rivers	16.81	TRUE	TRUE	TRUE	"[u'Humor', u'Entertainment Biography', u""Women's Biography"", u'Comedy', u""Women's Biography""]"	Penguin Group (USA)	7/1/14	304	31	3.5
"Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board"	Bethany Hamilton	9.8	TRUE	TRUE	TRUE	"[u'Sports & Adventure Biography', u'Nature', u'Animals - General', u'Marine & Aquatic Life', u'Teens - Biography', u'Teens - Sports', u'Christian Biography', u'Aquatic Life & Sciences', u'Sports & Adventure Biography', u'Teens - Aquatic Life & Sciences', u'Water Sports']"	MTV Books	6/6/06	240	1013	4.5
What I Know For Sure	Oprah Winfrey	19.08	TRUE	TRUE	TRUE	"[u'Entertainment Biography', u""Women's Biography"", u""Women's Biography"", u'Television', u'Inspiration', u'Television Biography']"	Flatiron Books	9/2/14	240	14	4.5
Killing Patton: The Strange Death of World War II's Most Audacious General	Bill O'Reilly	18.54	TRUE	TRUE	TRUE	"[u'U.S. Armed Forces - Biography', u'United States History - 20th Century - Wars & Conflict', u'United States Armed Forces', u'World War II']"	"Holt, Henry & Company, Inc."	9/23/14	368	195	4
Starry Night (Signed Book)	Debbie Macomber	15.93	FALSE	TRUE	FALSE	[u'Romance']	Random House Publishing Group	10/8/13	256	5	5
"Living Courageously: You Can Face Anything, Just Do It Afraid (Signed Book)"	Joyce Meyer	19.42	TRUE	TRUE	TRUE	"[u'Psychological Self-Help', u'Religious Inspiration', u'Personal Growth', u'Christian Life']"	FaithWords	9/16/14	272	2	4.5
Roughing It	Mark Twain	14.64	TRUE	TRUE	TRUE	"[u'Americas - Travel Essays & Descriptions', u'U.S. Travel - General & Regional', u'Travel Essays & Descriptions', u'Fiction & Literature Classics', u'US & Canadian Literary Biography', u'American Fiction', u'World Literature']"	Penguin Group (USA) Incorporated	12/28/81	592	81	3.5
Man of the Family	Ralph Moody	12.53	TRUE	TRUE	TRUE	"[u'General & Miscellaneous Biography', u'Rural Sociology', u'General & Miscellaneous World History']"	University of Nebraska Press	1/28/93	272	2	4.5
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban	Malala Yousafzai	15.75	TRUE	TRUE	TRUE	"[u""Women's Biography"", u'Labor Leaders, Activists, & Social Reformers', u'Asians & Asian Americans - Biography', u""Women's Biography""]"	"Little, Brown and Company"	10/8/13	352	215	4.5
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism	Naoki Higashida	13.41	TRUE	TRUE	FALSE	"[u'Peoples & Cultures - Biography', u'Children with Special Needs', u'Patient Narratives']"	Random House Publishing Group	8/27/13	176	86	4
Paris Match (Stone Barrington Series #31)	Stuart Woods	20.35	TRUE	TRUE	TRUE	[u'Mystery & Crime']	Penguin Group (USA)	10/7/14	320	38	4
"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, And The Past-Life Therapy That Changed Both Their Lives"	Brian L. Weiss	10.95	TRUE	FALSE	TRUE	"[u'General & Miscellaneous Biography', u'Alternative Spirituality', u'Healing']"	Touchstone	7/15/88	224	149	4.5
A Game of Thrones (A Song of Ice and Fire #1) (Movie Tie-In Edition)	George R. R. Martin	6.93	TRUE	TRUE	FALSE	[u'Science Fiction & Fantasy']	Random House Publishing Group	3/22/11	864	5414	4.5
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl	Ree Drummond	19.87	TRUE	TRUE	FALSE	"[u'Americans - Regional Biography', u'U.S. Cooking']"	HarperCollins Publishers	10/27/09	256	275	4.5
Roughing It	Mark Twain	14.69	TRUE	TRUE	TRUE	"[u'Americas - Travel Essays & Descriptions', u'U.S. Travel - General & Regional', u'Travel Essays & Descriptions', u'Fiction & Literature Classics', u'US & Canadian Literary Biography', u'American Fiction', u'World Literature']"	CreateSpace Publishing	6/28/14	470	81	3.5
